y:Survived,x__0:Pclass,x__1:Sex,x__2:Age,x__3:SibSp,x__4:Parch,x__5:Fare,x__6:Embarked,y'__0,y'__1
1,3,0,28.0,1,1,15.2458,1,0.8394161,0.1605839
0,2,0,31.0,0,0,10.5,0,0.82500255,0.17499742
0,3,0,20.0,0,0,7.925,0,0.8516988,0.14830121
1,2,1,6.0,0,1,33.0,0,0.073147476,0.9268526
1,3,1,14.0,1,0,11.2417,1,0.22864221,0.77135783
1,1,1,26.0,0,0,78.85,0,0.039576687,0.9604233
1,3,1,28.0,0,0,7.75,2,0.27308175,0.7269182
0,3,0,16.0,2,0,18.0,0,0.8891699,0.11083014
1,3,1,16.0,0,0,7.75,2,0.19340384,0.80659616
1,1,1,19.0,0,2,26.2833,0,0.08544143,0.91455853
0,1,0,37.0,1,0,53.1,0,0.55103487,0.4489651
0,3,0,44.0,0,0,8.05,0,0.9303069,0.06969313
0,3,1,28.0,3,1,25.4667,0,0.6928427,0.30715728
0,3,0,30.0,0,0,7.225,1,0.86793226,0.13206773
0,2,0,36.0,0,0,13.0,0,0.8341921,0.16580792
1,1,1,16.0,0,1,39.4,0,0.0469306,0.9530694
1,1,0,42.0,1,0,52.5542,0,0.53530693,0.464693
1,3,1,28.0,0,0,7.8292,2,0.2727244,0.7272756
0,2,0,27.0,0,0,13.0,0,0.79098964,0.20901032
0,1,0,47.0,0,0,52.0,0,0.5509582,0.4490418
0,3,0,24.0,0,0,7.8958,0,0.88518286,0.114817135
1,1,0,34.0,0,0,26.55,0,0.6595299,0.34047008
1,3,1,19.0,1,0,7.8542,0,0.46938714,0.5306128
0,3,0,20.0,0,0,9.225,0,0.8465556,0.1534444
0,3,0,28.0,0,0,14.5,0,0.88360727,0.11639268
0,3,0,10.0,3,2,27.9,0,0.83982825,0.16017167
0,1,0,40.0,0,0,27.7208,1,0.6313256,0.36867443
1,2,0,31.0,0,0,13.0,0,0.81602263,0.18397735
0,3,0,4.0,3,2,27.9,0,0.78728855,0.21271153
0,3,1,31.0,0,0,7.8542,0,0.42704225,0.57295775
0,3,0,19.0,0,0,7.8958,0,0.84190696,0.15809299
1,3,1,22.0,0,0,7.75,0,0.37736496,0.62263507
0,1,0,28.0,0,0,30.6958,1,0.623233,0.37676695
0,3,1,28.0,0,0,7.55,0,0.42130053,0.5786994
1,3,0,18.0,0,0,8.05,0,0.8293937,0.17060629
0,3,0,27.0,1,0,14.4542,1,0.86472434,0.13527566
1,1,0,28.0,0,0,35.5,0,0.6091913,0.3908087
1,3,1,28.0,0,0,7.75,2,0.27308175,0.7269182
1,1,1,30.0,0,0,31.0,1,0.051552806,0.9484472
